card_number,first_name,father_name,grandfather_name,sex,phone,dob_ec,age,city,address,registered_at
69,Frehiwot,Hailu,Desta,Female,0746120047,,15,Adama,"Arada, Woreda 9, House 139",
70,Fikru,Getachew,Wolde,Male,0926179640,,89,Dire Dawa,"Arada, Woreda 8, House 456",
71,Tadesse,Assefa,Getachew,Male,0950643171,,85,Bahir Dar,"Addis Ketema, Woreda 1, House 52",
72,Tsion,Mulugeta,Tesfaye,Female,0983933529,,1,Mekelle,"Yeka, Woreda 3, House 554",
73,Abel,Alemu,Abebe,Male,0953950240,,17,Sodo,"Kolfe, Woreda 9, House 117",
74,Tadesse,Hailu,Negash,Male,0917839084,,59,Shashemene,"Bole, Woreda 1, House 491",
75,Kalkidan,Assefa,Hailu,Female,0771159212,,36,Bishoftu,"Addis Ketema, Woreda 9, House 730",
76,Rediet,Desta,Hailu,Female,0989611836,,58,Debre Markos,"Arada, Woreda 7, House 348",
77,Bereket,Wolde,Girma,Male,0954527111,,12,Gondar,"Kirkos, Woreda 12, House 757",
78,Tsion,Gebre,Mekonnen,Female,0785165604,,77,Mekelle,"Gulele, Woreda 2, House 592",
79,Mulugeta,Tekle,Kebede,Male,0915851493,,55,Harar,"Nifas Silk, Woreda 10, House 629",
80,Genet,Kebede,Alemu,Female,0944550229,,85,Gondar,"Kirkos, Woreda 3, House 759",
81,Marta,Lemma,Tadesse,Female,0975254599,,11,Debre Markos,"Bole, Woreda 3, House 162",
82,Genet,Worku,Abebe,Female,0967976438,,15,Dire Dawa,"Kolfe, Woreda 2, House 291",
83,Rahel,Abebe,Negash,Female,0969003432,,33,Mekelle,"Gulele, Woreda 2, House 8",
84,Getachew,Negash,Worku,Male,0938851606,,3,Jimma,"Kirkos, Woreda 6, House 590",
85,Bekele,Worku,Hailu,Male,0960529751,,56,Harar,"Kirkos, Woreda 4, House 447",
86,Lidya,Girma,Getachew,Female,0753521818,,66,Bahir Dar,"Gulele, Woreda 6, House 745",
87,Girma,Lemma,Assefa,Male,0992127799,,58,Shashemene,"Addis Ketema, Woreda 11, House 651",
88,Eden,Tadesse,Tadesse,Female,0917744905,,65,Adama,"Lideta, Woreda 8, House 463",
89,Solomon,Worku,Mekonnen,Male,0919986798,,95,Debre Markos,"Bole, Woreda 8, House 931",
90,Mulugeta,Gebre,Lemma,Male,0907151820,,32,Sodo,"Akaki, Woreda 8, House 537",
91,Tadesse,Lemma,Girma,Male,0766590515,,13,Dessie,"Kolfe, Woreda 5, House 259",
92,Eyob,Gebre,Alemu,Male,0954629148,,49,Shashemene,"Gulele, Woreda 3, House 687",
93,Mahlet,Bekele,Gebre,Female,0905423573,,29,Hawassa,"Yeka, Woreda 2, House 303",
94,Rediet,Desta,Tadesse,Female,0959296222,,89,Arba Minch,"Addis Ketema, Woreda 3, House 739",
95,Tesfaye,Habtamu,Hailu,Male,0794738347,,25,Dire Dawa,"Addis Ketema, Woreda 8, House 473",
96,Mahlet,Alemu,Tesfaye,Female,0739240758,,14,Sodo,"Nifas Silk, Woreda 2, House 292",
97,Habtamu,Alemu,Wolde,Male,0961375060,,51,Dessie,"Gulele, Woreda 4, House 396",
98,Mekonnen,Mulugeta,Mekonnen,Male,0752204727,,58,Bishoftu,"Bole, Woreda 2, House 20",
99,Saba,Lemma,Desta,Female,0798614341,,7,Bahir Dar,"Kolfe, Woreda 11, House 813",
100,Mulugeta,Tesfaye,Alemu,Male,0908932460,,79,Dire Dawa,"Arada, Woreda 10, House 427",
101,Hewan,Kebede,Wolde,Female,0988888067,,6,Shashemene,"Kolfe, Woreda 6, House 260",
102,Hewan,Tesfaye,Girma,Female,0919520585,,83,Hawassa,"Akaki, Woreda 12, House 491",
103,Alemu,Mekonnen,Habtamu,Male,0930305486,,70,Jimma,"Lideta, Woreda 1, House 772",
104,Yonas,Wolde,Gebre,Male,0754156676,,44,Hawassa,"Akaki, Woreda 12, House 510",
105,Dawit,Lemma,Negash,Male,0716928451,,11,Dire Dawa,"Lideta, Woreda 5, House 457",
106,Alemu,Lemma,Desta,Male,0905964016,,47,Dessie,"Yeka, Woreda 1, House 147",
107,Dawit,Girma,Gebre,Male,0955690927,,48,Dire Dawa,"Akaki, Woreda 2, House 588",
108,Mekonnen,Mekonnen,Lemma,Male,0931027868,,16,Mekelle,"Lideta, Woreda 12, House 457",
109,Mulugeta,Habtamu,Tesfaye,Male,0921727155,,91,Adama,"Nifas Silk, Woreda 9, House 298",
110,Bethlehem,Tekle,Girma,Female,0783132370,,47,Dessie,"Addis Ketema, Woreda 6, House 479",
111,Hana,Gebre,Wolde,Female,0967866912,,41,Shashemene,"Kirkos, Woreda 8, House 478",
112,Fikru,Getachew,Wolde,Male,0922680182,,39,Hawassa,"Yeka, Woreda 6, House 958",
113,Rediet,Worku,Worku,Female,0714384249,,69,Adama,"Nifas Silk, Woreda 11, House 173",
114,Nahom,Lemma,Kebede,Male,0795900109,,34,Shashemene,"Arada, Woreda 10, House 427",
115,Fikru,Mekonnen,Assefa,Male,0947364710,,21,Jimma,"Kolfe, Woreda 8, House 476",
116,Eden,Desta,Getachew,Female,0755625881,,41,Bahir Dar,"Akaki, Woreda 2, House 274",
117,Yonas,Desta,Abebe,Male,0969632595,,25,Arba Minch,"Yeka, Woreda 8, House 528",
118,Kalkidan,Abebe,Habtamu,Female,0968733950,,7,Mekelle,"Akaki, Woreda 10, House 904",
119,Tigist,Alemu,Hailu,Female,0945650609,,72,Bahir Dar,"Gulele, Woreda 9, House 296",
120,Saba,Gebre,Hailu,Female,0999121655,,72,Dire Dawa,"Yeka, Woreda 4, House 617",
121,Meron,Hailu,Lemma,Female,0957872982,,42,Debre Markos,"Addis Ketema, Woreda 6, House 167",
122,Rahel,Habtamu,Kebede,Female,0988879470,,48,Dire Dawa,"Kirkos, Woreda 7, House 598",
123,Genet,Getachew,Tadesse,Female,0799309728,,81,Sodo,"Addis Ketema, Woreda 7, House 152",
124,Tigist,Tadesse,Girma,Female,0975626368,,79,Debre Markos,"Akaki, Woreda 12, House 745",
125,Saba,Mekonnen,Getachew,Female,0978652785,,70,Dire Dawa,"Lideta, Woreda 10, House 496",
126,Solomon,Tekle,Hailu,Male,0944375758,,93,Mekelle,"Lideta, Woreda 2, House 588",
127,Lidya,Tekle,Mulugeta,Female,0724041574,,62,Bahir Dar,"Arada, Woreda 9, House 278",
128,Nahom,Girma,Kebede,Male,0733083301,,53,Dire Dawa,"Akaki, Woreda 2, House 698",
129,Bethlehem,Tadesse,Tesfaye,Female,0977345401,,84,Bishoftu,"Arada, Woreda 9, House 757",
130,Samuel,Desta,Tekle,Male,0706724004,,73,Bishoftu,"Kirkos, Woreda 6, House 292",
131,Selam,Habtamu,Worku,Female,0774315274,,92,Hawassa,"Bole, Woreda 12, House 346",
132,Marta,Mulugeta,Hailu,Female,0966851612,,18,Jimma,"Gulele, Woreda 4, House 7",
133,Girma,Hailu,Gebre,Male,0749904530,,86,Adama,"Akaki, Woreda 5, House 164",
134,Rahel,Tekle,Abebe,Female,0945933272,,59,Sodo,"Addis Ketema, Woreda 6, House 426",
135,Marta,Worku,Tekle,Female,0791878519,,15,Addis Ababa,"Nifas Silk, Woreda 9, House 208",
136,Mekonnen,Desta,Worku,Male,0771397187,,8,Jimma,"Yeka, Woreda 9, House 426",
137,Alemu,Tekle,Tadesse,Male,0940640391,,6,Gondar,"Gulele, Woreda 12, House 66",
138,Hana,Tekle,Girma,Female,0770462265,,49,Jimma,"Kolfe, Woreda 7, House 83",
139,Hewan,Hailu,Getachew,Female,0986823004,,60,Shashemene,"Nifas Silk, Woreda 7, House 545",
140,Tadesse,Lemma,Tadesse,Male,0931069033,,9,Adama,"Addis Ketema, Woreda 1, House 458",
141,Yonas,Assefa,Getachew,Male,0938302843,,94,Bishoftu,"Gulele, Woreda 10, House 613",
142,Henok,Negash,Tekle,Male,0783644089,,95,Debre Markos,"Yeka, Woreda 11, House 696",
143,Tadesse,Getachew,Habtamu,Male,0768566246,,24,Arba Minch,"Nifas Silk, Woreda 8, House 247",
144,Selam,Alemu,Desta,Female,0708668826,,32,Mekelle,"Arada, Woreda 6, House 663",
145,Hana,Tekle,Mekonnen,Female,0930469901,,25,Arba Minch,"Addis Ketema, Woreda 12, House 688",
146,Mekonnen,Habtamu,Hailu,Male,0903317393,,51,Debre Markos,"Arada, Woreda 9, House 330",
147,Tadesse,Getachew,Girma,Male,0958771753,,48,Dire Dawa,"Kolfe, Woreda 1, House 577",
148,Fikru,Assefa,Mulugeta,Male,0796423536,,73,Harar,"Arada, Woreda 8, House 564",
149,Kalkidan,Tadesse,Gebre,Female,0777252287,,24,Debre Markos,"Nifas Silk, Woreda 11, House 981",
150,Dawit,Lemma,Lemma,Male,0700623120,,28,Dessie,"Akaki, Woreda 6, House 62",
151,Kalkidan,Negash,Tesfaye,Female,0988600848,,37,Addis Ababa,"Nifas Silk, Woreda 12, House 691",
152,Bereket,Getachew,Getachew,Male,0933984546,,11,Dire Dawa,"Kolfe, Woreda 8, House 579",
153,Dawit,Negash,Assefa,Male,0901666870,,82,Addis Ababa,"Yeka, Woreda 2, House 512",
154,Tigist,Tadesse,Tesfaye,Female,0703397401,,88,Debre Markos,"Lideta, Woreda 9, House 578",
155,Eden,Tekle,Assefa,Female,0939261429,,31,Bishoftu,"Kolfe, Woreda 11, House 919",
156,Henok,Assefa,Kebede,Male,0718501631,,44,Bishoftu,"Addis Ketema, Woreda 10, House 407",
157,Frehiwot,Alemu,Mulugeta,Female,0958662961,,80,Mekelle,"Arada, Woreda 12, House 76",
158,Henok,Negash,Desta,Male,0755110475,,35,Adama,"Yeka, Woreda 2, House 192",
159,Rediet,Alemu,Tekle,Female,0901581995,,50,Addis Ababa,"Lideta, Woreda 7, House 398",
160,Aster,Negash,Habtamu,Female,0926224447,,19,Adama,"Yeka, Woreda 7, House 283",
161,Dawit,Lemma,Hailu,Male,0937993712,,39,Addis Ababa,"Kolfe, Woreda 6, House 862",
162,Eden,Abebe,Worku,Female,0969245937,,41,Hawassa,"Kolfe, Woreda 6, House 299",
163,Eden,Desta,Mekonnen,Female,0965193982,,88,Arba Minch,"Nifas Silk, Woreda 1, House 976",
164,Solomon,Lemma,Abebe,Male,0716724342,,92,Gondar,"Kolfe, Woreda 2, House 460",
165,Saba,Lemma,Tadesse,Female,0968058911,,32,Shashemene,"Gulele, Woreda 3, House 663",
166,Lidya,Getachew,Desta,Female,0756101438,,67,Dessie,"Addis Ketema, Woreda 12, House 590",
167,Alemu,Girma,Wolde,Male,0798250714,,54,Debre Markos,"Kirkos, Woreda 2, House 852",
168,Alemu,Kebede,Assefa,Male,0787571775,,9,Mekelle,"Bole, Woreda 12, House 118",
169,Bethlehem,Tesfaye,Negash,Female,0738282586,,60,Bahir Dar,"Kolfe, Woreda 11, House 189",
170,Nahom,Tekle,Tesfaye,Male,0779660334,,91,Arba Minch,"Kirkos, Woreda 10, House 105",
171,Kebede,Desta,Lemma,Male,0947859696,,76,Adama,"Gulele, Woreda 6, House 866",
172,Solomon,Negash,Lemma,Male,0791251341,,24,Dire Dawa,"Yeka, Woreda 9, House 398",
173,Getachew,Wolde,Kebede,Male,0978282742,,24,Dire Dawa,"Akaki, Woreda 10, House 55",
174,Kebede,Getachew,Habtamu,Male,0788767677,,22,Adama,"Addis Ketema, Woreda 1, House 815",
175,Tesfaye,Tadesse,Desta,Male,0927978819,,15,Mekelle,"Nifas Silk, Woreda 6, House 556",
176,Mahlet,Worku,Wolde,Female,0934074517,,16,Arba Minch,"Arada, Woreda 4, House 831",
177,Yodit,Assefa,Habtamu,Female,0929233095,,69,Mekelle,"Addis Ketema, Woreda 9, House 173",
178,Girma,Hailu,Abebe,Male,0781260422,,32,Hawassa,"Gulele, Woreda 4, House 780",
179,Girma,Alemu,Desta,Male,0967116845,,59,Jimma,"Gulele, Woreda 10, House 3",
180,Hewan,Worku,Abebe,Female,0786363745,,37,Dire Dawa,"Nifas Silk, Woreda 10, House 134",
181,Meron,Tesfaye,Mulugeta,Female,0970127706,,26,Sodo,"Yeka, Woreda 11, House 310",
182,Tadesse,Alemu,Girma,Male,0952064361,,91,Adama,"Bole, Woreda 4, House 489",
183,Rediet,Bekele,Bekele,Female,0900516271,,30,Gondar,"Kirkos, Woreda 12, House 826",
184,Solomon,Girma,Negash,Male,0922189092,,57,Dire Dawa,"Arada, Woreda 11, House 767",
185,Frehiwot,Alemu,Getachew,Female,0711219656,,41,Arba Minch,"Yeka, Woreda 4, House 284",
186,Yodit,Hailu,Bekele,Female,0740438983,,51,Mekelle,"Bole, Woreda 4, House 507",
187,Nahom,Alemu,Kebede,Male,0905526965,,70,Shashemene,"Yeka, Woreda 8, House 978",
188,Sara,Tekle,Lemma,Female,0900684866,,90,Gondar,"Kirkos, Woreda 11, House 550",
189,Dawit,Getachew,Tadesse,Male,0983285691,,40,Sodo,"Kolfe, Woreda 12, House 977",
190,Bekele,Wolde,Gebre,Male,0999042102,,90,Addis Ababa,"Yeka, Woreda 8, House 976",
191,Genet,Abebe,Desta,Female,0924105648,,9,Mekelle,"Addis Ketema, Woreda 11, House 79",
192,Meron,Kebede,Getachew,Female,0992524191,,30,Sodo,"Nifas Silk, Woreda 1, House 46",
193,Tadesse,Alemu,Worku,Male,0922086353,,54,Debre Markos,"Gulele, Woreda 5, House 846",
194,Habtamu,Tekle,Desta,Male,0902380617,,37,Arba Minch,"Lideta, Woreda 6, House 89",
195,Kebede,Kebede,Negash,Male,0949375973,,94,Debre Markos,"Nifas Silk, Woreda 4, House 155",
196,Fikru,Girma,Mulugeta,Male,0905064138,,31,Gondar,"Akaki, Woreda 1, House 996",
197,Tesfaye,Worku,Tadesse,Male,0786571918,,18,Shashemene,"Kolfe, Woreda 2, House 607",
198,Henok,Girma,Bekele,Male,0945655743,,10,Bahir Dar,"Yeka, Woreda 10, House 112",
199,Alemu,Lemma,Tadesse,Male,0918537474,,16,Adama,"Yeka, Woreda 11, House 312",
200,Mekonnen,Tekle,Getachew,Male,0935680442,,4,Gondar,"Akaki, Woreda 9, House 767",
201,Bereket,Mulugeta,Alemu,Male,0721003236,,48,Shashemene,"Kirkos, Woreda 10, House 601",
202,Dawit,Hailu,Abebe,Male,0972151070,,22,Debre Markos,"Addis Ketema, Woreda 7, House 842",
203,Bekele,Abebe,Negash,Male,0932447209,,80,Bishoftu,"Arada, Woreda 11, House 303",
204,Kalkidan,Abebe,Wolde,Female,0946263838,,3,Gondar,"Gulele, Woreda 8, House 558",
205,Rediet,Worku,Getachew,Female,0942059304,,8,Arba Minch,"Akaki, Woreda 9, House 367",
206,Tigist,Wolde,Worku,Female,0934803965,,23,Hawassa,"Arada, Woreda 10, House 326",
207,Tadesse,Lemma,Getachew,Male,0792937842,,63,Addis Ababa,"Kirkos, Woreda 1, House 239",
208,Mulugeta,Gebre,Wolde,Male,0993252500,,19,Bishoftu,"Yeka, Woreda 2, House 867",
209,Hewan,Tesfaye,Tekle,Female,0769154522,,94,Gondar,"Akaki, Woreda 11, House 325",
210,Yodit,Worku,Tadesse,Female,0739264422,,94,Addis Ababa,"Addis Ketema, Woreda 7, House 872",
211,Mekonnen,Alemu,Assefa,Male,0793917251,,31,Dire Dawa,"Gulele, Woreda 3, House 652",
212,Girma,Hailu,Wolde,Male,0915410067,,94,Gondar,"Yeka, Woreda 7, House 505",
213,Tigist,Tesfaye,Hailu,Female,0793271040,,41,Mekelle,"Kirkos, Woreda 2, House 351",
214,Dawit,Bekele,Assefa,Male,0915997062,,78,Debre Markos,"Kolfe, Woreda 3, House 55",
215,Kebede,Tadesse,Wolde,Male,0988444310,,51,Bishoftu,"Nifas Silk, Woreda 8, House 158",
216,Dawit,Hailu,Abebe,Male,0997310324,,11,Jimma,"Kirkos, Woreda 5, House 804",
217,Girma,Getachew,Mulugeta,Male,0986256527,,6,Mekelle,"Akaki, Woreda 8, House 270",
218,Selam,Tekle,Abebe,Female,0711586938,,8,Harar,"Kolfe, Woreda 9, House 429",
219,Aster,Tesfaye,Mekonnen,Female,0916089899,,19,Adama,"Akaki, Woreda 3, House 972",
220,Selam,Assefa,Mulugeta,Female,0916329451,,12,Gondar,"Nifas Silk, Woreda 7, House 566",
221,Sara,Bekele,Worku,Female,0799861622,,73,Bishoftu,"Addis Ketema, Woreda 2, House 948",
222,Rahel,Lemma,Lemma,Female,0756467997,,5,Hawassa,"Lideta, Woreda 7, House 148",
223,Lidya,Bekele,Getachew,Female,0953074505,,39,Mekelle,"Lideta, Woreda 8, House 879",
224,Alemu,Wolde,Tadesse,Male,0754691373,,53,Sodo,"Akaki, Woreda 9, House 889",
225,Bethlehem,Desta,Tadesse,Female,0986289023,,26,Harar,"Bole, Woreda 4, House 34",
226,Marta,Tekle,Wolde,Female,0978610357,,77,Jimma,"Yeka, Woreda 8, House 601",
227,Girma,Mulugeta,Negash,Male,0714060293,,29,Shashemene,"Arada, Woreda 11, House 212",
228,Sara,Hailu,Wolde,Female,0922903494,,92,Sodo,"Lideta, Woreda 7, House 917",
229,Kebede,Habtamu,Bekele,Male,0989691085,,72,Shashemene,"Addis Ketema, Woreda 10, House 290",
230,Mekonnen,Assefa,Girma,Male,0754443283,,8,Arba Minch,"Addis Ketema, Woreda 7, House 677",
231,Kalkidan,Abebe,Wolde,Female,0746660993,,44,Sodo,"Arada, Woreda 11, House 548",
232,Bethlehem,Getachew,Wolde,Female,0782417248,,24,Shashemene,"Gulele, Woreda 11, House 92",
233,Solomon,Lemma,Alemu,Male,0955494717,,7,Harar,"Addis Ketema, Woreda 10, House 967",
234,Kebede,Assefa,Tesfaye,Male,0968460223,,44,Gondar,"Addis Ketema, Woreda 8, House 147",
235,Kalkidan,Alemu,Girma,Female,0925007432,,74,Arba Minch,"Yeka, Woreda 8, House 805",
236,Mahlet,Kebede,Getachew,Female,0976008350,,42,Arba Minch,"Nifas Silk, Woreda 4, House 19",
237,Tadesse,Lemma,Gebre,Male,0916894210,,39,Mekelle,"Akaki, Woreda 12, House 533",
238,Henok,Worku,Gebre,Male,0975326033,,94,Hawassa,"Arada, Woreda 12, House 23",
239,Tadesse,Bekele,Negash,Male,0706489090,,85,Adama,"Bole, Woreda 1, House 707",
240,Bereket,Negash,Bekele,Male,0972304618,,35,Bishoftu,"Addis Ketema, Woreda 12, House 141",
241,Yodit,Tadesse,Tekle,Female,0911739348,,26,Dire Dawa,"Kolfe, Woreda 5, House 165",
242,Kebede,Gebre,Alemu,Male,0975300119,,86,Jimma,"Yeka, Woreda 2, House 799",
243,Tigist,Assefa,Negash,Female,0737447012,,6,Harar,"Lideta, Woreda 6, House 821",
244,Tigist,Assefa,Tesfaye,Female,0700225579,,35,Debre Markos,"Kirkos, Woreda 6, House 835",
245,Getachew,Worku,Desta,Male,0746762120,,21,Adama,"Kolfe, Woreda 10, House 495",
246,Getachew,Kebede,Gebre,Male,0790277167,,6,Adama,"Lideta, Woreda 11, House 322",
247,Tsion,Tekle,Lemma,Female,0735889163,,62,Dire Dawa,"Kolfe, Woreda 3, House 860",
248,Samuel,Hailu,Hailu,Male,0977217535,,36,Addis Ababa,"Nifas Silk, Woreda 4, House 564",
249,Hana,Tadesse,Tekle,Female,0997177517,,84,Addis Ababa,"Kirkos, Woreda 7, House 423",
250,Hana,Tekle,Lemma,Female,0794883755,,7,Harar,"Arada, Woreda 8, House 340",
251,Hewan,Tesfaye,Abebe,Female,0711305548,,67,Dire Dawa,"Kirkos, Woreda 1, House 919",
252,Bekele,Worku,Bekele,Male,0993316373,,92,Dire Dawa,"Kirkos, Woreda 7, House 48",
253,Frehiwot,Gebre,Tesfaye,Female,0998270808,,56,Harar,"Addis Ketema, Woreda 8, House 947",
254,Bethlehem,Assefa,Habtamu,Female,0721699586,,54,Bishoftu,"Arada, Woreda 5, House 408",
255,Henok,Girma,Tesfaye,Male,0998485833,,27,Bishoftu,"Lideta, Woreda 11, House 354",
256,Eden,Kebede,Hailu,Female,0758799684,,55,Arba Minch,"Bole, Woreda 9, House 110",
257,Yonas,Tekle,Getachew,Male,0924420438,,5,Dire Dawa,"Akaki, Woreda 2, House 631",
258,Saba,Desta,Getachew,Female,0984066658,,7,Addis Ababa,"Lideta, Woreda 4, House 636",
259,Hewan,Tadesse,Negash,Female,0789334721,,24,Hawassa,"Nifas Silk, Woreda 2, House 387",
260,Girma,Habtamu,Abebe,Male,0994057202,,42,Bishoftu,"Bole, Woreda 11, House 631",
261,Saba,Wolde,Getachew,Female,0958328182,,54,Dessie,"Nifas Silk, Woreda 7, House 95",
